problem_id,domain,problem,previous_steps,current_step,next_step,step_index,label,error_type,explanation,source
comb-5-2-2679,combinatorics,Сколькими способами можно выбрать 2 объектов из 5?,,"Используем сочетания C(5,2).",,1,correct,none,"Порядок выбора не важен, поэтому нужны сочетания.",toy_synthetic_baseline
comb-5-2-2679,combinatorics,Сколькими способами можно выбрать 2 объектов из 5?,,"Используем размещения A(5,2).",,1,incorrect,wrong_formula,"Выбранная формула учитывает порядок, которого нет в условии.",toy_synthetic_baseline
comb-5-2-2679,combinatorics,Сколькими способами можно выбрать 2 объектов из 5?,"Используем C(5,2).",Очевидно получаем число способов.,,2,suspicious,invalid_transition,Не показано вычисление сочетаний.,toy_synthetic_baseline
mat-3--3--3--2-4257,linear_algebra,"Найдите determinant матрицы [[3, -3], [-3, -2]].",,det A = 3*-2 - -3*-3.,det A = -15.,1,correct,none,Формула определителя 2x2 записана верно.,toy_synthetic_baseline
mat-3--3--3--2-4257,linear_algebra,"Найдите determinant матрицы [[3, -3], [-3, -2]].",,det A = 3*-2 + -3*-3 = 3.,,1,incorrect,sign_error,В формуле определителя нужен минус.,toy_synthetic_baseline
mat-3--3--3--2-4257,linear_algebra,"Найдите determinant матрицы [[3, -3], [-3, -2]].",det A = 3*-2 - -3*-3.,Ответ: det A = -15.,,2,correct,none,Ответ согласован с вычислением.,toy_synthetic_baseline
condprob-163-54-13-1106,probability,Из 163 студентов 54 изучают Python. Среди изучающих Python 13 знают NumPy. Найдите P(NumPy | Python).,,P(NumPy | Python) = 13/54.,,1,correct,none,Условная вероятность берётся относительно группы Python.,toy_synthetic_baseline
condprob-163-54-13-1106,probability,Из 163 студентов 54 изучают Python. Среди изучающих Python 13 знают NumPy. Найдите P(NumPy | Python).,,P(NumPy | Python) = 13/163.,,1,incorrect,missing_condition,"Знаменатель должен быть числом изучающих Python, а не общим числом студентов.",toy_synthetic_baseline
condprob-163-54-13-1106,probability,Из 163 студентов 54 изучают Python. Среди изучающих Python 13 знают NumPy. Найдите P(NumPy | Python).,,Делим подходящее количество на общее.,,1,suspicious,missing_condition,"Неясно, какое множество используется как условие.",toy_synthetic_baseline
calc-6514,calculus,Найдите производную функции f(x)=x^2 sin x.,,Используем правило произведения.,"(x^2)'=2x, (sin x)'=cos x.",1,correct,none,Правило выбрано верно.,toy_synthetic_baseline
calc-6514,calculus,Найдите производную функции f(x)=x^2 sin x.,Используем правило произведения.,Производная sin x равна -cos x.,,2,incorrect,wrong_formula,Производная sin x равна cos x.,toy_synthetic_baseline
calc-6514,calculus,Найдите производную функции f(x)=x^2 sin x.,Используем правило произведения.,После дифференцирования получаем итоговую формулу.,,2,suspicious,invalid_transition,Не показаны производные множителей и подстановка в правило.,toy_synthetic_baseline
calc-6514,calculus,Найдите производную функции f(x)=x^2 sin x.,Используем правило произведения.,"Следовательно, f'(x)=2x sin x.",,3,incomplete,invalid_transition,Пропущен второй член x^2 cos x.,toy_synthetic_baseline
prob-3-5-1711,probability,В урне 3 красных и 5 синих шаров. Два шара вытаскивают без возвращения. Найдите вероятность двух красных шаров.,,Вероятность первого красного шара равна 3/8.,Вероятность второго красного шара равна 2/7.,1,correct,none,Вероятность первого выбора записана верно.,toy_synthetic_baseline
prob-3-5-1711,probability,В урне 3 красных и 5 синих шаров. Два шара вытаскивают без возвращения. Найдите вероятность двух красных шаров.,Вероятность первого красного шара равна 3/8.,Вероятность второго красного шара равна 3/8.,Перемножаем вероятности.,2,incorrect,probability_without_replacement,После первого выбора состав урны меняется.,toy_synthetic_baseline
prob-3-5-1711,probability,В урне 3 красных и 5 синих шаров. Два шара вытаскивают без возвращения. Найдите вероятность двух красных шаров.,Вероятность первого красного шара равна 3/8.,Вероятность второго события аналогична первому.,Перемножаем вероятности.,2,suspicious,probability_without_replacement,Фраза скрывает условную вероятность при выборе без возвращения.,toy_synthetic_baseline
prob-3-5-1711,probability,В урне 3 красных и 5 синих шаров. Два шара вытаскивают без возвращения. Найдите вероятность двух красных шаров.,Вероятность первого красного шара равна 3/8.,"Следовательно, вероятности нужно перемножить.",,3,incomplete,missing_condition,Не показана условная вероятность второго события.,toy_synthetic_baseline
condprob-138-54-10-6925,probability,Из 138 студентов 54 изучают Python. Среди изучающих Python 10 знают NumPy. Найдите P(NumPy | Python).,,P(NumPy | Python) = 10/54.,,1,correct,none,Условная вероятность берётся относительно группы Python.,toy_synthetic_baseline
condprob-138-54-10-6925,probability,Из 138 студентов 54 изучают Python. Среди изучающих Python 10 знают NumPy. Найдите P(NumPy | Python).,,P(NumPy | Python) = 10/138.,,1,incorrect,missing_condition,"Знаменатель должен быть числом изучающих Python, а не общим числом студентов.",toy_synthetic_baseline
condprob-138-54-10-6925,probability,Из 138 студентов 54 изучают Python. Среди изучающих Python 10 знают NumPy. Найдите P(NumPy | Python).,,Делим подходящее количество на общее.,,1,suspicious,missing_condition,"Неясно, какое множество используется как условие.",toy_synthetic_baseline
mat-0--2--3-0-2654,linear_algebra,"Найдите determinant матрицы [[0, -2], [-3, 0]].",,det A = 0*0 - -2*-3.,det A = -6.,1,correct,none,Формула определителя 2x2 записана верно.,toy_synthetic_baseline
mat-0--2--3-0-2654,linear_algebra,"Найдите determinant матрицы [[0, -2], [-3, 0]].",,det A = 0*0 + -2*-3 = 6.,,1,incorrect,sign_error,В формуле определителя нужен минус.,toy_synthetic_baseline
mat-0--2--3-0-2654,linear_algebra,"Найдите determinant матрицы [[0, -2], [-3, 0]].",det A = 0*0 - -2*-3.,Ответ: det A = -6.,,2,correct,none,Ответ согласован с вычислением.,toy_synthetic_baseline
quad-3-4-2169,algebra,Решите квадратное уравнение \(x\)^2 -7\(x\) +12 = 0.,,Дискриминант D = (-7)^2 - 4*1*12 = 1.,,1,correct,none,Дискриминант вычислен верно.,toy_synthetic_baseline
quad-3-4-2169,algebra,Решите квадратное уравнение \(x\)^2 -7\(x\) +12 = 0.,,Дискриминант D = (-7)^2 - 4*1*12 = 2.,,1,incorrect,calculation_error,Дискриминант посчитан неверно.,toy_synthetic_baseline
quad-3-4-2169,algebra,Решите квадратное уравнение \(x\)^2 -7\(x\) +12 = 0.,D = 1.,"В итоге, x = 3 или x = 4.",,2,correct,none,Корни соответствуют уравнению.,toy_synthetic_baseline
comb-6-4-4598,combinatorics,Сколькими способами можно выбрать 4 объектов из 6?,,"Используем сочетания C(6,4).",,1,correct,none,"Порядок выбора не важен, поэтому нужны сочетания.",toy_synthetic_baseline
comb-6-4-4598,combinatorics,Сколькими способами можно выбрать 4 объектов из 6?,,"Используем размещения A(6,4).",,1,incorrect,wrong_formula,"Выбранная формула учитывает порядок, которого нет в условии.",toy_synthetic_baseline
comb-6-4-4598,combinatorics,Сколькими способами можно выбрать 4 объектов из 6?,"Используем C(6,4).",Без дополнительных вычислений получаем число способов.,,2,suspicious,invalid_transition,Не показано вычисление сочетаний.,toy_synthetic_baseline
lin-4-1-6155,linear_algebra,"Решите систему: x + y=5, x - y=3.",,Отсюда следует после сложения уравнений: 2x = 8.,Тогда имеем x = 4.,1,correct,none,Сложение уравнений выполнено корректно.,toy_synthetic_baseline
lin-4-1-6155,linear_algebra,"Решите систему: x + y=5, x - y=3.",Отсюда следует после сложения уравнений: 2x = 8.,Тогда имеем x = 4.,Тогда y = 5 - 4 = 1.,2,correct,none,Значение x найдено верно.,toy_synthetic_baseline
lin-4-1-6155,linear_algebra,"Решите систему: x + y=5, x - y=3.",Отсюда следует после сложения уравнений: 2x = 8. ||| Тогда имеем x = 4.,Дальше сразу находим y.,"Ответ: x = 4, y = 1.",3,suspicious,missing_condition,Нет явной подстановки в одно из уравнений.,toy_synthetic_baseline
lin-4-1-6155,linear_algebra,"Решите систему: x + y=5, x - y=3.",Отсюда следует после сложения уравнений: 2x = 8. ||| Тогда имеем x = 4.,Тогда y = 5 - 4 = 2.,"Ответ: x = 4, y = 2.",3,incorrect,wrong_substitution,Подстановка в первое уравнение дала неверное значение y.,toy_synthetic_baseline
quad-6-4-5304,algebra,Решите квадратное уравнение x^2 -10x +24 = 0.,,Дискриминант D = (-10)^2 - 4*1*24 = 4.,,1,correct,none,Дискриминант вычислен верно.,toy_synthetic_baseline
quad-6-4-5304,algebra,Решите квадратное уравнение x^2 -10x +24 = 0.,,Дискриминант D = (-10)^2 - 4*1*24 = 3.,,1,incorrect,calculation_error,Дискриминант посчитан неверно.,toy_synthetic_baseline
quad-6-4-5304,algebra,Решите квадратное уравнение x^2 -10x +24 = 0.,D = 4.,"В итоге, x = 6 или x = 4.",,2,correct,none,Корни соответствуют уравнению.,toy_synthetic_baseline
quad-5-4-2489,algebra,Решите квадратное уравнение x^2 -9x +20 = 0.,,Дискриминант D = (-9)^2 - 4*1*20 = 1.,,1,correct,none,Дискриминант вычислен верно.,toy_synthetic_baseline
quad-5-4-2489,algebra,Решите квадратное уравнение x^2 -9x +20 = 0.,,Дискриминант D = (-9)^2 - 4*1*20 = 2.,,1,incorrect,calculation_error,Дискриминант посчитан неверно.,toy_synthetic_baseline
quad-5-4-2489,algebra,Решите квадратное уравнение x^2 -9x +20 = 0.,D = 1.,"Следовательно, x = 5 или x = 4.",,2,correct,none,Корни соответствуют уравнению.,toy_synthetic_baseline
prob-4-7-7304,probability,В урне 4 красных и 7 синих шаров. Два шара вытаскивают без возвращения. Найдите вероятность двух красных шаров.,,Вероятность первого красного шара равна 4/11.,Вероятность второго красного шара равна 3/10.,1,correct,none,Вероятность первого выбора записана верно.,toy_synthetic_baseline
prob-4-7-7304,probability,В урне 4 красных и 7 синих шаров. Два шара вытаскивают без возвращения. Найдите вероятность двух красных шаров.,Вероятность первого красного шара равна 4/11.,Вероятность второго красного шара равна 4/11.,Перемножаем вероятности.,2,incorrect,probability_without_replacement,После первого выбора состав урны меняется.,toy_synthetic_baseline
prob-4-7-7304,probability,В урне 4 красных и 7 синих шаров. Два шара вытаскивают без возвращения. Найдите вероятность двух красных шаров.,Вероятность первого красного шара равна 4/11.,Вероятность второго события аналогична первому.,Перемножаем вероятности.,2,suspicious,probability_without_replacement,Фраза скрывает условную вероятность при выборе без возвращения.,toy_synthetic_baseline
prob-4-7-7304,probability,В урне 4 красных и 7 синих шаров. Два шара вытаскивают без возвращения. Найдите вероятность двух красных шаров.,Вероятность первого красного шара равна 4/11.,"Следовательно, вероятности нужно перемножить.",,3,incomplete,missing_condition,Не показана условная вероятность второго события.,toy_synthetic_baseline
quad-5-4-2876,algebra,Решите квадратное уравнение x^2 -9x +20 = 0.,,Дискриминант D = (-9)^2 - 4*1*20 = 1.,,1,correct,none,Дискриминант вычислен верно.,toy_synthetic_baseline
